"Path","Added","Deleted","Decision","Status","Reason","Testable","Deployable","Bucket","AlignmentDecision","AlignmentNote"
".devcontainer/devcontainer.json","26","0","keep_user_requested","kept_per_user","Editor metadata only; CI uses the Dockerfile directly, but retained because you explicitly said not to remove it.","No","Yes","protected_web","",""
".devcontainer/Dockerfile","46","0","keep","kept","Retained after audit because it is part of web enablement, shared runtime support, tests, or CI integration and was not proven unnecessary.","Yes","Yes","protected_web","",""
".github/actions/web-test-env/action.yml","71","0","keep","kept","Retained after audit because it is part of web enablement, shared runtime support, tests, or CI integration and was not proven unnecessary.","Yes","Yes","protected_web","",""
".github/workflows/mkdocs.yml","16","1","keep","kept","Retained after audit because it is part of web enablement, shared runtime support, tests, or CI integration and was not proven unnecessary.","Yes","Yes","audited_non_web","keep","Legacy audited keep; retain only if still required for web correctness or shared test support."
".github/workflows/web-build.yml","620","0","keep","kept","Retained after audit because it is part of web enablement, shared runtime support, tests, or CI integration and was not proven unnecessary.","Yes","Yes","protected_web","",""
".github/workflows/web-war-deep-nightly.yml","68","0","keep_user_requested","kept_per_user","Extra nightly coverage lane; not required for the upstreamable web PR, but retained because you explicitly said not to remove it.","No","Yes","protected_web","",""
".gitignore","5","0","keep","kept","Retained after audit because it is part of web enablement, shared runtime support, tests, or CI integration and was not proven unnecessary.","Yes","Yes","audited_non_web","keep","Legacy audited keep; retain only if still required for web correctness or shared test support."
"AGENTS.md","2","0","keep_user_requested","kept_per_user","Local agent prompt file; not product or CI code, but retained because you explicitly said not to remove it.","No","Yes","meta_user","",""
"ai_stuffs/docs/arch_web.md","156","0","keep_user_requested","kept_per_user","AI process artifact; not runtime, build, or test logic, but retained because you explicitly said not to remove it.","No","Yes","meta_user","",""
"ai_stuffs/docs/strange_stuffs.md","78","0","keep_user_requested","kept_per_user","AI process artifact; not runtime, build, or test logic, but retained because you explicitly said not to remove it.","No","Yes","meta_user","",""
"ai_stuffs/docs/web-capability-staging.md","35","0","keep_user_requested","kept_per_user","AI process artifact; not runtime, build, or test logic, but retained because you explicitly said not to remove it.","No","Yes","meta_user","",""
"ai_stuffs/logs/progress.md","1100","0","keep_user_requested","kept_per_user","AI process artifact; not runtime, build, or test logic, but retained because you explicitly said not to remove it.","No","Yes","meta_user","",""
"ai_stuffs/logs/progress_02_15.md","121","0","keep_user_requested","kept_per_user","AI process artifact; not runtime, build, or test logic, but retained because you explicitly said not to remove it.","No","Yes","meta_user","",""
"ai_stuffs/planning/features.csv","12","0","keep_user_requested","kept_per_user","AI process artifact; not runtime, build, or test logic, but retained because you explicitly said not to remove it.","No","Yes","meta_user","",""
"ai_stuffs/planning/plan.md","57","0","keep_user_requested","kept_per_user","AI process artifact; not runtime, build, or test logic, but retained because you explicitly said not to remove it.","No","Yes","meta_user","",""
"ai_stuffs/planning/plan_phase_2.md","197","0","keep_user_requested","kept_per_user","AI process artifact; not runtime, build, or test logic, but retained because you explicitly said not to remove it.","No","Yes","meta_user","",""
"ai_stuffs/planning/plan_phase_3.md","175","0","keep_user_requested","kept_per_user","AI process artifact; not runtime, build, or test logic, but retained because you explicitly said not to remove it.","No","Yes","meta_user","",""
"ai_stuffs/planning/plan_phase_4.md","63","0","keep_user_requested","kept_per_user","AI process artifact; not runtime, build, or test logic, but retained because you explicitly said not to remove it.","No","Yes","meta_user","",""
"ai_stuffs/planning/planMake WAR UI E2E Deterministic, Real, and Preload-Backed (Local-Only).csv","11","0","keep_user_requested","kept_per_user","AI process artifact; not runtime, build, or test logic, but retained because you explicitly said not to remove it.","No","Yes","meta_user","",""
"ai_stuffs/README.md","29","0","keep_user_requested","kept_per_user","AI process artifact; not runtime, build, or test logic, but retained because you explicitly said not to remove it.","No","Yes","meta_user","",""
"ai_stuffs/repro_clickops_ci_chain.csv","27","0","keep_user_requested","kept_per_user","AI process artifact; not runtime, build, or test logic, but retained because you explicitly said not to remove it.","No","Yes","meta_user","",""
"android/assets/Skin.json","0","13","keep","kept","Retained after audit because it is part of web enablement, shared runtime support, tests, or CI integration and was not proven unnecessary.","Yes","Yes","audited_non_web","keep","Legacy audited keep; retain only if still required for web correctness or shared test support."
"build.gradle.kts","46","37","keep","kept","Retained after audit because it is part of web enablement, shared runtime support, tests, or CI integration and was not proven unnecessary.","Yes","Yes","audited_non_web","keep","Legacy audited keep; retain only if still required for web correctness or shared test support."
"buildSrc/src/main/kotlin/WebBuildTasks.kt","331","0","keep","kept","Retained after audit because it is part of web enablement, shared runtime support, tests, or CI integration and was not proven unnecessary.","Yes","Yes","protected_web","",""
"core/src/com/unciv/json/TileMapSerializer.kt","93","0","keep","kept","Retained after audit because it is part of web enablement, shared runtime support, tests, or CI integration and was not proven unnecessary.","Yes","Yes","audited_non_web","keep","Legacy audited keep; retain only if still required for web correctness or shared test support."
